,Package Handler,Driver Helper,Package Delivery Driver,Warehouse Associate,Automotive Mechanic,Facilities Mechanic,Feeder Driver,UPS Freight Over-the-Road (OTR) Driver,Part-Time Operations Supervisor,Business Analyst,Sales Representative,,,
Air Force,Y,Y,Y,,,,Y,Y,,,Y,2T1X1,Vehicle Operations,"Planned, performed and managed vehicle operations functions and activities. Dispatched, operated and serviced motor vehicles such as general and special-purpose vehicles, base maintenance, and material-handling vehicles. Performed fleet management duties, accounted for vehicle fleet, issued driver licenses and conducted analyses. Planned, organized and directed vehicle transportation to support operational missions."
Air Force,Y,Y,Y,,,,,,,,Y,11AX,Airlift Pilot,"Piloted aircraft and commanded crew to accomplish airlift, training and other missions. Planned and prepared for missions. Reviewed mission tasking, intelligence and weather information. Supervised planning, preparation and filing of flight plan and crew briefing. Ensured aircraft was pre-flighted, inspected, loaded, equipped and manned for flight. Performed, supervised or directed navigation, in-flight refueling, and cargo and passenger delivery."
Air Force,Y,Y,Y,,,,,,,,Y,11BX,Bomber Pilot,"Piloted USAF bomber aircraft and commanded crew. Operated aircraft controls and equipment. Performed, supervised or directed navigation, in-flight refueling and weapons delivery. Conducted or supervised training of crew members. Ensured operational readiness of crew by conducting or supervising mission-specific training. Planned and prepared for missions. Reviewed mission tasking, intelligence and weather information. Supervised mission planning, preparation and filing of flight plan, and crew briefing."
Air Force,Y,Y,Y,,,,,,,,Y,11EX,Experimental Test Pilot,"Formulated test procedures and conducted tests to evaluate performance, reliability and suitability of aircraft and systems. Identified design and operational deficiencies and recommended improvements. "
Air Force,Y,Y,Y,,,,,,,,Y,11FX,Fighter Pilot,"Aviator trained to engage in air-to-air, and often air-to-ground, combat while at the controls of a fighter aircraft. Underwent specialized technical training. Planned and prepared for missions. Reviewed mission tasking, intelligence and weather information. Supervised mission planning, preparation and filing of flight plan, and crew briefing. Ensured aircraft was pre-flighted, inspected, loaded, equipped and manned for missions that ensured safe return."
Air Force,Y,Y,Y,,,,,,,,Y,11GX,Generalist Pilot,"Monitored, evaluated and directed flying operations and training programs. Developed requirements for equipment and training. Prepared and coordinated budgets. "
Air Force,Y,Y,Y,,,,,,,,Y,11HX,Helicopter Pilot,"Piloted helicopter aircraft and commanded crews to accomplish combat, training and other missions. Planned and prepared for missions. Reviewed mission tasking, intelligence and weather information. Supervised mission planning and crew briefing. Ensured aircraft was pre-flighted, inspected, loaded, equipped and manned for missions. Conducted or supervised training of crew members. Operated aircraft controls and equipment."
Air Force,Y,Y,Y,,,,,,,,Y,11KX,Trainer Pilot,"Reviewed syllabus requirements, student progress and weather information. Piloted aircraft and commanded crew. Ensured optimum training opportunities and progress by conducting and supervising student training. "
Air Force,Y,Y,Y,,,,,,,,Y,11RX,Reconnaissance/Surveillance/Electronic Warfare Pilot,"Piloted highly specialized aircraft designed specifically with intent to capture EW and aerial reconnaissance surveillance as well as search and rescue, training, and other missions. "
Air Force,Y,Y,Y,,,,,,,,Y,11SX,Special Operations Pilot,"Piloted special operations aircraft and commanded crews of special operations forces for worldwide deployment and assignment to regional unified commands to conduct unconventional warfare, direct action and special reconnaissance. Managed personnel recovery and counterterrorism operations."
Air Force,Y,Y,Y,,,,,,,,Y,11TX,Tanker Pilot,"Planned and prepared for activities. Ensured readiness of crew by conducting and supervising activity-specific training. Tankered aircraft and commanded crews to accomplish air refueling, airlift, training and other missions."
Air Force,Y,Y,Y,,,,,,,,Y,12AX,Airlift Navigator,"Navigator officer performed, conducted or directly supported flying operations, including combat, combat support and training missions. Inherently included were supervisory and staff functions such as inspection, contingency planning and policy formulation."
Air Force,Y,Y,Y,,,,,,,,Y,12BX,Bomber Navigator,"Performed duties of navigator, electronic warfare officer (EWO) or weapon systems officer (WSO) to accomplish combat, training and other assigned missions. Reviewed mission tasking, intelligence and weather information. Conducted or supervised training of crew members. Ensured operational readiness of crew by conducting or supervising mission- and activity-specific training. "
Air Force,Y,Y,Y,,,,,,,,Y,12EX,Experimental Test Navigator,Planned and conducted flight test programs. Managed research and tested and evaluated projects and programs. Identified design and operational deficiencies and recommended improvements.
Air Force,Y,Y,Y,,,,,,,,Y,12FX,Fighter Navigator,"Performed duties of weapon systems officer or electronic warfare officer to accomplish combat, training and other assigned missions. Navigated aircraft to accomplish assigned missions. Operated available navigation systems. Conducted or supervised training of crew members. Developed plans and policies, monitored operations, and advised commanders. Navigated aircraft. Participated in planning, preparation, crew briefing and filing of flight plans. "
Air Force,Y,Y,Y,,,,,,,,Y,12GX,Generalist Navigator,"Monitored, evaluated and directed flying operations and training programs. Developed requirements for equipment and training. Prepared and coordinated budgets. "
Air Force,Y,Y,Y,,,,,,,,Y,12KX,Trainer Navigator,"Reviewed syllabus requirements, student progress and weather information. Navigated aircraft. Ensured optimum training opportunities and progress by conducting and supervising student training. "
Air Force,Y,Y,Y,,,,,,,,Y,12RX,Reconnaissance/Surveillance/Electronic Warfare Navigator,"Piloted specialized mission aircraft and commanded flight crews to accomplish reconnaissance, surveillance, search and rescue, electronic warfare, training, and other missions. Participated in planning, preparation, crew briefing and filing of flight plans. Ensured readiness of crew by conducting and supervising activity-specific training. "
Air Force,Y,Y,Y,,,,,,,,Y,12SX,Special Operations Navigator,"Performed duties of navigator, fire control officer (FCO) or electronic warfare officer (EWO) to accomplish special operations, training and other assigned missions. Navigated aircraft to accomplish assigned missions. Operated available navigation systems."
Air Force,Y,Y,Y,,,,,,,,Y,12TX,Tanker Navigator,"Performed duties of navigator in tanker aircraft to accomplish air refueling, training and other assigned missions. Participated in mission planning, preparation and filing of flight plans, and crew briefing. Ensured aircraft was pre-flighted, inspected, loaded, equipped and manned for missions. Navigated aircraft to accomplish assigned missions. Operated available navigation systems. "
Air Force,Y,Y,Y,,,,,,,,Y,13AX,Astronaut,"Commanded space shuttle missions. Assessed problems and implemented deviations from flight plans, procedures and personnel assignments in the interest of safety and mission accomplishment. "
Air Force,Y,Y,Y,,,,,,,,Y,13BX,Air Battle Manager,"Developed plans, policies and procedures. Selected and employed surveillance, reporting and data link management systems. Interpreted directives into specific guidance and procedures for controller actions. "
Air Force,Y,Y,Y,,,,,,,,Y,13DX,Control and Recovery,"Coordinated, planned and conducted personnel recovery missions. Ensured safe, orderly and expeditious air traffic flow in and around the terminal area. "
Air Force,Y,Y,Y,,,,,,,,Y,13MX,Airfield Operation,"Managed day-to-day operations of facilities including radar approach control, ground controlled approach, radar final control, control tower and base operations. Provided staff supervision and technical assistance. "
Air Force,Y,Y,Y,,,,,,,,Y,13SX,Space & Missile Operations,"Built future plans, requirements, concepts, directives and exercises for operational employment of space and missile systems and facilities. Established organizational structure and determined personnel requirements."
Air Force,Y,Y,Y,,,,,,,,Y,14NX,Intelligence,"Conducted information operations to analyze information vulnerability. Provided staff supervision and technical advice. Planned and coordinated use of intelligence resources, programming and budgeting. "
Air Force,Y,Y,Y,,,,,,,,Y,15WX,Weather,Analyzed meteorological data and prepared forecasts. Integrated weather analyses and reports with radar and satellite imagery interpretations. Briefed aircrews and staff personnel on current and forecasted weather.
Air Force,Y,Y,Y,,,,,,,,Y,16FX,Regional Affairs Strategist,"Provided foreign language competency and regional expertise essential to interaction with foreign organizations. Made recommendations on treaties, international agreements, policies and procedures."
Air Force,Y,Y,Y,,,,,,,,Y,16GX,Air Force Operations Staff Officer,"Developed and created assumptions for the planning process that are responsive to doctrine and maximize the capabilities of the USAF. Programmed, presented and supported resource allocation according to the Planning, Programming and Budgeting System. Facilitated issue resolution to ensure timely completion."
Air Force,Y,Y,Y,,,,,,,,Y,16PX,Political-Military Affairs Strategist,"Developed policy positions on international political problems. Made recommendations on treaties, international agreements, policies and procedures. "
Air Force,Y,Y,Y,,,,,,,,Y,16RX,Planning and Programming,"Executed planning process based on policies, directives and procedures. Developed assumptions upon which the planning process was constrained. Coordinated plans between staff agencies to ensure a coherent planning effort. "
Air Force,Y,Y,Y,,,,,,,,Y,21AX,Aircraft Maintenance,Led and trained personnel supporting aerospace equipment sustainment and operations. Managed maintenance and modification of aircraft and associated equipment. Administered aircraft maintenance programs.
Air Force,Y,Y,Y,,,,,,,,Y,21BX,Maintenance,"Managed and trained personnel supporting aerospace equipment sustainment and operations. Administered aircraft and equipment maintenance programs. Directed staff activity and related supply inventory such as aircraft, missile, avionics, communications-electronics and munitions."
Air Force,Y,Y,Y,,,,,,,,Y,21MX,Munitions and Missile Maintenance,"Scheduled, planned and operated maintenance of management information system (MIS), and collected, analyzed and presented data to maintenance organizations. Collaborated with organizations to include aircraft, missile, avionics, communications-electronics and other collaterals."
Air Force,Y,Y,Y,Y,,,,,Y,,Y,21RX,Logistics Readiness Officer (LRO),"Oversaw and integrated the spectrum of logistics processes within the operational, acquisition and wholesale environments. Directed and managed the supply distribution logistics and management of needed inventory."
Air Force,Y,Y,Y,,,,,,,,Y,31PX,Security Forces,"Led, managed and directed Security Forces personnel and deployments. Protected nuclear and conventional weapons systems and other resources. Directed air base defense resources including control and security of terrain inside and immediately adjacent to military installations. Included were weapons systems and resource security; anti-terrorism; law enforcement and investigations; military working-dog functions; air base defense; armament and equipment; training pass and registration; information, personnel and industrial security; and combat arms."
Air Force,Y,Y,Y,,,,,,,,Y,32EX,Civil Engineer,"Directed, developed and implemented civil engineer (CE) force employment. Organized, trained and equipped contingency forces for conventional and nuclear, biological and chemical (NBC) attack operations, and other emergency situations. Directly involved programming, budgeting, project management, drafting, surveying, planning, feasibility studies, construction management, utilities operations, energy and environmental programs, land management, and real property accounting."
