Branch,Bucket,Code,Search,Title
Air Force,0,2T1X1,2T1X1 Vehicle Operations,Vehicle Operations
Air Force,0,11AX,11AX Airlift Pilot,Airlift Pilot
Air Force,0,11BX,11BX Bomber Pilot,Bomber Pilot
Air Force,0,11EX,11EX Experimental Test Pilot,Experimental Test Pilot
Air Force,0,11FX,11FX Fighter Pilot,Fighter Pilot
Air Force,0,11GX,11GX Generalist Pilot,Generalist Pilot
Air Force,0,11HX,11HX Helicopter Pilot,Helicopter Pilot
Air Force,0,11KX,11KX Trainer Pilot,Trainer Pilot
Air Force,0,11RX,11RX Reconnaissance/Surveillance/Electronic Warfare Pilot,Reconnaissance/Surveillance/Electronic Warfare Pilot
Air Force,0,11SX,11SX Special Operations Pilot,Special Operations Pilot
Air Force,0,11TX,11TX Tanker Pilot,Tanker Pilot
Air Force,0,12AX,12AX Airlift Navigator,Airlift Navigator
Air Force,0,12BX,12BX Bomber Navigator,Bomber Navigator
Air Force,0,12EX,12EX Experimental Test Navigator,Experimental Test Navigator
Air Force,0,12FX,12FX Fighter Navigator,Fighter Navigator
Air Force,0,12GX,12GX Generalist Navigator,Generalist Navigator
Air Force,0,12KX,12KX Trainer Navigator,Trainer Navigator
Air Force,0,12RX,12RX Reconnaissance/Surveillance/Electronic Warfare Navigator,Reconnaissance/Surveillance/Electronic Warfare Navigator
Air Force,0,12SX,12SX Special Operations Navigator,Special Operations Navigator
Air Force,0,12TX,12TX Tanker Navigator,Tanker Navigator
Air Force,0,13AX,13AX Astronaut,Astronaut
Air Force,0,13BX,13BX Air Battle Manager,Air Battle Manager
Air Force,0,13DX,13DX Control and Recovery,Control and Recovery
Air Force,0,13MX,13MX Airfield Operation,Airfield Operation
Air Force,0,13SX,13SX Space & Missile Operations,Space & Missile Operations
Air Force,0,14NX,14NX Intelligence,Intelligence
Air Force,0,15WX,15WX Weather,Weather
Air Force,0,16FX,16FX Regional Affairs Strategist,Regional Affairs Strategist
Air Force,0,16GX,16GX Air Force Operations Staff Officer,Air Force Operations Staff Officer
Air Force,0,16PX,16PX Political-Military Affairs Strategist,Political-Military Affairs Strategist
Air Force,0,16RX,16RX Planning and Programming,Planning and Programming
Air Force,0,21AX,21AX Aircraft Maintenance,Aircraft Maintenance
Air Force,0,21BX,21BX Maintenance,Maintenance
Air Force,0,21MX,21MX Munitions and Missile Maintenance,Munitions and Missile Maintenance
Air Force,0,21RX,21RX Logistics Readiness Officer (LRO),Logistics Readiness Officer (LRO)
 ,0,31PX,31PX Security Forces,Security Forces
Air Force,0,32EX,32EX Civil Engineer,Civil Engineer
Air Force,0,33SX,33SX Communications & Information,Communications & Information
Air Force,0,34MX,34MX Services,Services
Air Force,0,35BX,35BX Band,Band
Air Force,0,35PX,35PX Public Affairs,Public Affairs
Air Force,0,36MX,36MX Mission Support,Mission Support
Air Force,0,36PX,36PX Personnel,Personnel
Air Force,0,38MX,38MX Manpower Field,Manpower Field
Air Force,0,41AX,41AX Health Services Administrator,Health Services Administrator
Air Force,0,42BX,42BX Physical Therapist,Physical Therapist
Air Force,0,42EX,42EX Optometrist,Optometrist
Air Force,0,42FX,42FX Podiatrist,Podiatrist
Air Force,0,42GX,42GX Physician Assistant,Physician Assistant
Air Force,0,42NX,42NX Audiology/Speech Pathologist,Audiology/Speech Pathologist
Air Force,0,42PX,42PX Clinical Psychologist,Clinical Psychologist
Air Force,0,42SX,42SX Clinical Social Worker,Clinical Social Worker
Air Force,0,42TX,42TX Occupational Therapist Biomedical Specialists,Occupational Therapist Biomedical Specialists
Air Force,0,43AX,43AX Aerospace & Operational Physiologist,Aerospace & Operational Physiologist
Air Force,0,43BX,43BX Biomedical Scientist,Biomedical Scientist
Air Force,0,43DX,43DX Dietitian,Dietitian
Air Force,0,43EX,43EX Bioenvironmental Engineer,Bioenvironmental Engineer
Air Force,0,43HX,43HX Public Health,Public Health
Air Force,0,43MX,43MX Medical Entomologist,Medical Entomologist
Air Force,0,43PX,43PX Pharmacist,Pharmacist
Air Force,0,43TX,43TX Biomedical Laboratory,Biomedical Laboratory
Air Force,0,43VX,43VX Veterinary Clinician,Veterinary Clinician
Air Force,0,43YX,43YX Health Physicist,Health Physicist
Air Force,0,44AX,"44AX Chief, Hospital/Clinic Services","Chief, Hospital/Clinic Services"
Air Force,0,44DX,44DX Pathologist,Pathologist
Air Force,0,44EX,44EX Emergency Services Physician,Emergency Services Physician
Air Force,0,44FX,44FX Family Physician,Family Physician
Air Force,0,44GX,44GX General Practice Physician,General Practice Physician
Air Force,0,44HX,44HX Nuclear Medicine Physician,Nuclear Medicine Physician
Air Force,0,44JX,44JX Clinical Geneticist,Clinical Geneticist
Air Force,0,44KX,44KX Pediatrician,Pediatrician
Air Force,0,44MX,44MX Internist,Internist
Air Force,0,44NX,44NX Neurologist,Neurologist
Air Force,0,44PX,44PX Psychiatrist,Psychiatrist
Air Force,0,44RX,44RX Diagnostic Radiologist,Diagnostic Radiologist
Air Force,0,44SX,44SX Dermatologist,Dermatologist
Air Force,0,44TX,44TX Radiotherapist,Radiotherapist
Air Force,0,44YX,44YX Critical Care Medicine,Critical Care Medicine
Air Force,0,44ZX,44ZX Allergist,Allergist
Air Force,0,45AX,45AX Anesthesiologist,Anesthesiologist
Air Force,0,45BX,45BX Orthopedic Surgeon,Orthopedic Surgeon
Air Force,0,45EX,45EX Ophthalmologist,Ophthalmologist
Air Force,0,45GX,45GX OB/GYN,OB/GYN
Air Force,0,45NX,45NX Otorhinolaryngologist,Otorhinolaryngologist
Air Force,0,45PX,45PX Physical Medicine Physician,Physical Medicine Physician
Air Force,0,45SX,45SX Surgeon,Surgeon
Air Force,0,45UX,45UX Urologist,Urologist
Air Force,0,46AX,46AX Nurse Administrator,Nurse Administrator
Air Force,0,46FX,46FX Flight Nurse,Flight Nurse
Air Force,0,46GX,46GX Nurse-Midwife,Nurse-Midwife
Air Force,0,46MX,46MX Nurse Anesthetist,Nurse Anesthetist
Air Force,0,46NX,46NX Clinical Nurse,Clinical Nurse
Air Force,0,46PX,46PX Mental Health Nurse,Mental Health Nurse
Air Force,0,46SX,46SX Operating Room Nurse,Operating Room Nurse
Air Force,0,47BX,47BX Orthodontist,Orthodontist
Air Force,0,47DX,47DX Oral and Maxillofacial Pathologist,Oral and Maxillofacial Pathologist
Air Force,0,47EX,47EX Endodontist,Endodontist
Air Force,0,47GX,47GX Dentist,Dentist
Air Force,0,47HX,47HX Periodontist,Periodontist
Air Force,0,47KX,47KX Pediatric Dentist,Pediatric Dentist
Air Force,0,47PX,47PX Prosthodontist,Prosthodontist
Air Force,0,47SX,47SX Oral and Maxillofacial Surgeon,Oral and Maxillofacial Surgeon
Air Force,0,48AX,48AX Aerospace Medicine Specialist,Aerospace Medicine Specialist
Air Force,0,48EX,48EX Occupational Medicine Specialist,Occupational Medicine Specialist
Air Force,0,48FX,48FX Family Practice Specialist,Family Practice Specialist
Air Force,0,48GX,48GX Aerospace Medicine Physician,Aerospace Medicine Physician
Air Force,0,48PX,48PX Preventive Medicine Specialist,Preventive Medicine Specialist
Air Force,0,51JX,51JX Judge Advocate,Judge Advocate
Air Force,0,52RX,52RX Chaplain,Chaplain
Air Force,0,61SX,61SX Scientist,Scientist
Air Force,0,62EX,62EX Developmental Engineer,Developmental Engineer
Air Force,0,63AX,63AX Acquisition Manager,Acquisition Manager
